brand,collection,reference,country,currency,price_2021,price_USD_2021,price_2025,price_USD_2025,Price Difference,Growth Rate (%),CAGR (%)
PANERAI,Luminor,PAM01086,USA,USD,6400.0,6400.0,5600,5600.0,-800.0,-12.5,-3.2831789866165306
PANERAI,Luminor,PAM01084,USA,USD,7100.0,7100.0,6100,6100.0,-1000.0,-14.084507042253522,-3.7240369496076897
PANERAI,Luminor,PAM01085,USA,USD,7100.0,7100.0,6100,6100.0,-1000.0,-14.084507042253522,-3.7240369496076897
PANERAI,Luminor,PAM00915,USA,USD,8800.0,8800.0,7600,7600.0,-1200.0,-13.636363636363635,-3.5987356263111447
PANERAI,Luminor,PAM00422,USA,USD,12800.0,12800.0,11300,11300.0,-1500.0,-11.71875,-3.068012315422586
PANERAI,Luminor,PAM01314,USA,USD,10300.0,10300.0,8800,8800.0,-1500.0,-14.563106796116504,-3.8583963633095575
PANERAI,Luminor,PAM01313,USA,USD,10300.0,10300.0,8800,8800.0,-1500.0,-14.563106796116504,-3.8583963633095575
PANERAI,Luminor,PAM01312,USA,USD,10300.0,10300.0,8800,8800.0,-1500.0,-14.563106796116504,-3.8583963633095575
PANERAI,Luminor,PAM01157,USA,USD,11100.0,11100.0,9400,9400.0,-1700.0,-15.315315315315313,-4.070712527247
PANERAI,Luminor,PAM01356,USA,USD,11100.0,11100.0,9400,9400.0,-1700.0,-15.315315315315313,-4.070712527247
PANERAI,Luminor,PAM01358,USA,USD,11100.0,11100.0,9400,9400.0,-1700.0,-15.315315315315313,-4.070712527247
PANERAI,Luminor,PAM01316,USA,USD,11300.0,11300.0,9500,9500.0,-1800.0,-15.929203539823009,-4.2450375176042225
PANERAI,Luminor,PAM01112,USA,USD,30700.0,30700.0,26800,26800.0,-3900.0,-12.703583061889251,-3.339485013280208
PANERAI,Luminor,PAM01441,USA,USD,17600.0,17600.0,14900,14900.0,-2700.0,-15.340909090909092,-4.077961390993156
PANERAI,Luminor,PAM01218,USA,USD,11600.0,11600.0,10000,10000.0,-1600.0,-13.793103448275861,-3.64250465660394
PANERAI,Luminor,PAM01109,USA,USD,11600.0,11600.0,10000,10000.0,-1600.0,-13.793103448275861,-3.64250465660394
PANERAI,Luminor,PAM01110,USA,USD,12600.0,12600.0,10800,10800.0,-1800.0,-14.285714285714285,-3.7804541804238534
PANERAI,Luminor,PAM01111,USA,USD,34500.0,34500.0,29400,29400.0,-5100.0,-14.782608695652174,-3.920206975967011
PANERAI,Luminor,PAM00742,USA,USD,59700.0,59700.0,45100,45100.0,-14600.0,-24.455611390284755,-6.771101579872596
PANERAI,Luminor,PAM00715,USA,USD,85900.0,85900.0,62400,62400.0,-23500.0,-27.357392316647267,-7.679561956754166
PANERAI,Luminor,PAM01060,USA,USD,217000.0,217000.0,163700,163700.0,-53300.0,-24.56221198156682,-6.804007792894284
PANERAI,Submersible,PAM01074,USA,USD,20200.0,20200.0,17700,17700.0,-2500.0,-12.376237623762377,-3.248997387001318
PANERAI,Submersible,PAM00968,USA,USD,20900.0,20900.0,18600,18600.0,-2300.0,-11.004784688995215,-2.872622085023402
PANERAI,Luminor Due,PAM01248,USA,USD,8000.0,8000.0,6900,6900.0,-1100.0,-13.750000000000002,-3.6304622274063503
PANERAI,Luminor Due,PAM01273,USA,USD,8000.0,8000.0,6900,6900.0,-1100.0,-13.750000000000002,-3.6304622274063503
PANERAI,Luminor Due,PAM01123,USA,USD,9000.0,9000.0,7700,7700.0,-1300.0,-14.444444444444443,-3.825031234693199
PANERAI,Luminor Due,PAM01250,USA,USD,8300.0,8300.0,7300,7300.0,-1000.0,-12.048192771084338,-3.1585704125594027
PANERAI,Luminor Due,PAM01124,USA,USD,9400.0,9400.0,8100,8100.0,-1300.0,-13.829787234042554,-3.652757090152603
PANERAI,Luminor Due,PAM01280,USA,USD,21400.0,21400.0,18600,18600.0,-2800.0,-13.084112149532709,-3.4449945457778353
PANERAI,Luminor,PAM01086,France,EUR,4900.0,5782.0,5700,6154.290000000001,800.0,16.3265306122449,3.853154813286719
PANERAI,Luminor,PAM01084,France,EUR,5400.0,6372.0,6200,6694.14,800.0,14.814814814814813,3.514093302382726
PANERAI,Luminor,PAM01085,France,EUR,5400.0,6372.0,6200,6694.14,800.0,14.814814814814813,3.514093302382726
PANERAI,Luminor,PAM00915,France,EUR,6700.0,7906.0,7700,8313.69,1000.0,14.925373134328357,3.5390034457576602
PANERAI,Luminor,PAM00422,France,EUR,9800.0,11564.0,11500,12416.55,1700.0,17.346938775510203,4.080157598785039
PANERAI,Luminor,PAM01314,France,EUR,7900.0,9322.0,8900,9609.330000000002,1000.0,12.658227848101266,3.0245506141195477
PANERAI,Luminor,PAM01313,France,EUR,7900.0,9322.0,8900,9609.330000000002,1000.0,12.658227848101266,3.0245506141195477
PANERAI,Luminor,PAM01312,France,EUR,7900.0,9322.0,8900,9609.330000000002,1000.0,12.658227848101266,3.0245506141195477
PANERAI,Luminor,PAM01157,France,EUR,8500.0,10030.0,9600,10365.12,1100.0,12.941176470588237,3.089178027963446
PANERAI,Luminor,PAM01356,France,EUR,8500.0,10030.0,9600,10365.12,1100.0,12.941176470588237,3.089178027963446
PANERAI,Luminor,PAM01358,France,EUR,8500.0,10030.0,9600,10365.12,1100.0,12.941176470588237,3.089178027963446
PANERAI,Luminor,PAM01316,France,EUR,8700.0,10266.0,9700,10473.09,1000.0,11.494252873563218,2.7574031549095546
PANERAI,Luminor,PAM01112,France,EUR,23600.0,27848.0,27300,29475.81,3700.0,15.677966101694915,3.7080959979430173
PANERAI,Luminor,PAM01441,France,EUR,13500.0,15930.0,15200,16411.440000000002,1700.0,12.592592592592592,3.0095416780550055
PANERAI,Luminor,PAM01218,France,EUR,8900.0,10502.0,10200,11012.94,1300.0,14.606741573033707,3.46716302178951
PANERAI,Luminor,PAM01109,France,EUR,8900.0,10502.0,10200,11012.94,1300.0,14.606741573033707,3.46716302178951
PANERAI,Luminor,PAM01110,France,EUR,9700.0,11446.0,11000,11876.7,1300.0,13.402061855670103,3.1941879152005193
PANERAI,Luminor,PAM01111,France,EUR,26500.0,31270.0,30000,32391.000000000004,3500.0,13.20754716981132,3.1499080560842163
PANERAI,Luminor,PAM00742,France,EUR,46000.0,54280.0,52000,56144.40000000001,6000.0,13.043478260869565,3.1125145723054137
PANERAI,Luminor,PAM00715,France,EUR,66000.0,77880.0,72000,77738.40000000001,6000.0,9.090909090909092,2.1991162258356844
PANERAI,Luminor,PAM01060,France,EUR,166000.0,195880.0,189000,204063.3,23000.0,13.855421686746988,3.2971713271332304
PANERAI,Submersible,PAM01074,France,EUR,15500.0,18290.0,18000,19434.6,2500.0,16.129032258064516,3.8090464343377706
PANERAI,Submersible,PAM00968,France,EUR,16500.0,19470.0,19000,20514.300000000003,2500.0,15.151515151515152,3.5899000857380736
PANERAI,Luminor Due,PAM01248,France,EUR,6100.0,7198.0,7000,7557.900000000001,900.0,14.754098360655737,3.500405488093139
PANERAI,Luminor Due,PAM01273,France,EUR,6100.0,7198.0,7000,7557.900000000001,900.0,14.754098360655737,3.500405488093139
PANERAI,Luminor Due,PAM01123,France,EUR,6900.0,8142.0,7800,8421.660000000002,900.0,13.043478260869565,3.1125145723054137
PANERAI,Luminor Due,PAM01250,France,EUR,6400.0,7552.0,7400,7989.780000000001,1000.0,15.625,3.6962226110637264
PANERAI,Luminor Due,PAM01124,France,EUR,7200.0,8496.0,8200,8853.54,1000.0,13.88888888888889,3.3047614055361274
PANERAI,Luminor Due,PAM01280,France,EUR,16400.0,19352.0,18900,20406.33,2500.0,15.24390243902439,3.610671657451392
PANERAI,Luminor,PAM01086,UK,GBP,4300.0,5933.999999999999,4900,6313.65,600.0,13.953488372093023,3.3194072925426976
PANERAI,Luminor,PAM01084,UK,GBP,4800.0,6623.999999999999,5300,6829.05,500.0,10.416666666666668,2.5082119186819574
PANERAI,Luminor,PAM01085,UK,GBP,4800.0,6623.999999999999,5300,6829.05,500.0,10.416666666666668,2.5082119186819574
PANERAI,Luminor,PAM00915,UK,GBP,5800.0,8003.999999999999,6500,8375.25,700.0,12.068965517241379,2.8895672906024794
PANERAI,Luminor,PAM00422,UK,GBP,8500.0,11730.0,9800,12627.3,1300.0,15.294117647058824,3.62195637924998
PANERAI,Luminor,PAM01314,UK,GBP,6800.0,9384.0,7600,9792.6,800.0,11.76470588235294,2.8196615313359485
PANERAI,Luminor,PAM01313,UK,GBP,6800.0,9384.0,7600,9792.6,800.0,11.76470588235294,2.8196615313359485
PANERAI,Luminor,PAM01312,UK,GBP,6800.0,9384.0,7600,9792.6,800.0,11.76470588235294,2.8196615313359485
PANERAI,Luminor,PAM01157,UK,GBP,7600.0,10488.0,8100,10436.85,500.0,6.578947368421052,1.6056495681971317
PANERAI,Luminor,PAM01356,UK,GBP,7600.0,10488.0,8100,10436.85,500.0,6.578947368421052,1.6056495681971317
PANERAI,Luminor,PAM01358,UK,GBP,7600.0,10488.0,8100,10436.85,500.0,6.578947368421052,1.6056495681971317
PANERAI,Luminor,PAM01316,UK,GBP,7600.0,10488.0,8200,10565.7,600.0,7.894736842105263,1.9178057786364944
PANERAI,Luminor,PAM01112,UK,GBP,20600.0,28428.0,23100,29764.35,2500.0,12.135922330097088,2.9049319691895503
PANERAI,Luminor,PAM01441,UK,GBP,10200.0,14075.999999999998,12900,16621.65,2700.0,26.47058823529412,6.046755210933918
PANERAI,Luminor,PAM01218,UK,GBP,8000.0,11040.0,8700,11209.95,700.0,8.75,2.1191794292683586
PANERAI,Luminor,PAM01109,UK,GBP,8000.0,11040.0,8700,11209.95,700.0,8.75,2.1191794292683586
PANERAI,Luminor,PAM01110,UK,GBP,8700.0,12005.999999999998,9300,11983.05,600.0,6.896551724137931,1.6812611175657466
PANERAI,Luminor,PAM01111,UK,GBP,23800.0,32844.0,25400,32727.9,1600.0,6.722689075630252,1.639890825779533
PANERAI,Luminor,PAM00742,UK,GBP,41400.0,57131.99999999999,36300,46772.55,-5100.0,-12.318840579710146,-3.2331573402013203
PANERAI,Luminor,PAM00715,UK,GBP,59400.0,81972.0,50200,64682.7,-9200.0,-15.488215488215488,-4.119714612354608
PANERAI,Luminor,PAM01060,UK,GBP,148200.0,204516.0,131800,169824.3,-16400.0,-11.06612685560054,-2.8893632783843604
PANERAI,Submersible,PAM01074,UK,GBP,13900.0,19182.0,15200,19585.2,1300.0,9.352517985611511,2.260331656830461
PANERAI,Submersible,PAM00968,UK,GBP,14300.0,19734.0,16100,20744.85,1800.0,12.587412587412588,3.008356877276386
PANERAI,Luminor Due,PAM01248,UK,GBP,5500.0,7589.999999999999,6000,7731.0,500.0,9.090909090909092,2.1991162258356844
PANERAI,Luminor Due,PAM01273,UK,GBP,5500.0,7589.999999999999,6000,7731.0,500.0,9.090909090909092,2.1991162258356844
PANERAI,Luminor Due,PAM01123,UK,GBP,6100.0,8418.0,6600,8504.1,500.0,8.19672131147541,1.9890449893815942
PANERAI,Luminor Due,PAM01250,UK,GBP,5700.0,7865.999999999999,6300,8117.55,600.0,10.526315789473683,2.5336513577710162
PANERAI,Luminor Due,PAM01124,UK,GBP,6400.0,8832.0,7000,9019.5,600.0,9.375,2.265587230876176
PANERAI,Luminor Due,PAM01280,UK,GBP,14700.0,20286.0,16000,20616.0,1300.0,8.843537414965986,2.1411308883253932
PANERAI,Luminor,PAM01086,Japan,JPY,616000.0,5605.6,847000,5724.8730000000005,231000.0,37.5,8.286838533399688
PANERAI,Luminor,PAM01084,Japan,JPY,671000.0,6106.1,924000,6245.316,253000.0,37.704918032786885,8.327161325169797
PANERAI,Luminor,PAM01085,Japan,JPY,671000.0,6106.1,924000,6245.316,253000.0,37.704918032786885,8.327161325169797
PANERAI,Luminor,PAM00915,Japan,JPY,836000.0,7607.6,1144000,7732.296,308000.0,36.84210526315789,8.15707576165341
PANERAI,Luminor,PAM00422,Japan,JPY,1221000.0,11111.1,1705000,11524.095,484000.0,39.63963963963964,8.705665674549024
PANERAI,Luminor,PAM01314,Japan,JPY,990000.0,9009.0,1320000,8921.880000000001,330000.0,33.33333333333333,7.456993182354199
PANERAI,Luminor,PAM01313,Japan,JPY,990000.0,9009.0,1320000,8921.880000000001,330000.0,33.33333333333333,7.456993182354199
PANERAI,Luminor,PAM01312,Japan,JPY,990000.0,9009.0,1320000,8921.880000000001,330000.0,33.33333333333333,7.456993182354199
PANERAI,Luminor,PAM01157,Japan,JPY,1056000.0,9609.6,1430000,9665.37,374000.0,35.41666666666667,7.874309745837005
PANERAI,Luminor,PAM01356,Japan,JPY,1056000.0,9609.6,1430000,9665.37,374000.0,35.41666666666667,7.874309745837005
PANERAI,Luminor,PAM01358,Japan,JPY,1056000.0,9609.6,1430000,9665.37,374000.0,35.41666666666667,7.874309745837005
PANERAI,Luminor,PAM01316,Japan,JPY,1078000.0,9809.8,1441000,9739.719,363000.0,33.6734693877551,7.525458966166454
PANERAI,Luminor,PAM01112,Japan,JPY,2926000.0,26626.6,4048000,27360.432,1122000.0,38.34586466165413,8.452993918750584
PANERAI,Luminor,PAM01441,Japan,JPY,1683000.0,15315.3,2255000,15241.545,572000.0,33.98692810457516,7.588439291281102
PANERAI,Luminor,PAM01218,Japan,JPY,1100000.0,10010.0,1518000,10260.162,418000.0,38.0,8.385147158043438
PANERAI,Luminor,PAM01109,Japan,JPY,1100000.0,10010.0,1518000,10260.162,418000.0,38.0,8.385147158043438
PANERAI,Luminor,PAM01110,Japan,JPY,1210000.0,11011.0,1628000,11003.652,418000.0,34.54545454545455,7.700385439460811
PANERAI,Luminor,PAM01111,Japan,JPY,3234000.0,29429.4,4444000,30036.996000000003,1210000.0,37.41496598639456,8.27009271390371
PANERAI,Luminor,PAM00742,Japan,JPY,5720000.0,52052.0,7678000,51895.602,1958000.0,34.23076923076923,7.637355632648912
PANERAI,Luminor,PAM00715,Japan,JPY,8217000.0,74774.7,10626000,71821.134,2409000.0,29.31726907630522,6.638525433604636
PANERAI,Luminor,PAM01060,Japan,JPY,20712000.0,188479.2,27896000,188549.064,7184000.0,34.685206643491696,7.72834159700142
PANERAI,Submersible,PAM01074,Japan,JPY,1914000.0,17417.4,2673000,18066.807,759000.0,39.6551724137931,8.708688509129892
PANERAI,Submersible,PAM00968,Japan,JPY,2057000.0,18718.7,2816000,19033.344,759000.0,36.898395721925134,8.168196740234567
PANERAI,Luminor Due,PAM01248,Japan,JPY,759000.0,6906.900000000001,1045000,7063.155000000001,286000.0,37.68115942028986,8.322488526223303
PANERAI,Luminor Due,PAM01273,Japan,JPY,759000.0,6906.900000000001,1045000,7063.155000000001,286000.0,37.68115942028986,8.322488526223303
PANERAI,Luminor Due,PAM01123,Japan,JPY,858000.0,7807.8,1155000,7806.645,297000.0,34.61538461538461,7.714377045529197
PANERAI,Luminor Due,PAM01250,Japan,JPY,781000.0,7107.1,1100000,7434.900000000001,319000.0,40.845070422535215,8.939508819980158
PANERAI,Luminor Due,PAM01124,Japan,JPY,880000.0,8008.0,1221000,8252.739,341000.0,38.75,8.532110406965487
PANERAI,Luminor Due,PAM01280,Japan,JPY,2046000.0,18618.6,2805000,18958.995,759000.0,37.096774193548384,8.207361901124788
